"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
41,"20% : 80%",3,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
42,"10% : 90%",3,12.0,108.0,6.618278000000001,1.0,7.618278000000001,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
43,"0% : 100%",3,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
44,"100% : 0%",4,120.0,"",28.186572,"",28.186572,46.0,"",46.0,0.016539647073304138,"",0.016539647073304138,"aneja"
45,"90% : 10%",4,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
46,"80% : 20%",4,96.0,24.0,96.0,1.0,97.0,43.0,6.0,49.0,0.016538748868222885,0.016540613561468215,0.016540613561468215,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
48,"60% : 40%",4,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
52,"20% : 80%",4,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
53,"10% : 90%",4,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
54,"0% : 100%",4,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
56,"90% : 10%",5,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
57,"80% : 20%",5,96.0,24.0,96.0,1.0,97.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
58,"70% : 30%",5,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
60,"50% : 50%",5,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
61,"40% : 60%",5,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
62,"30% : 70%",5,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
63,"20% : 80%",5,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
64,"10% : 90%",5,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
65,"0% : 100%",5,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
66,"100% : 0%",6,120.0,"",27.911884000000004,"",27.911884000000004,46.0,"",46.0,0.016539647073304138,"",0.016539647073304138,"aneja"
67,"90% : 10%",6,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
68,"80% : 20%",6,96.0,24.0,96.0,1.0,97.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
69,"70% : 30%",6,84.0,36.0,84.0,1.0,85.0,40.0,8.0,48.0,0.016538719184205398,0.016540613407276573,0.016540613407276573,"aneja"
70,"60% : 40%",6,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
73,"30% : 70%",6,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
74,"20% : 80%",6,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
75,"10% : 90%",6,12.0,108.0,12.0,1.0,13.0,8.0,36.0,44.0,0.016127833965978212,0.016539465275857524,0.016539465275857524,"aneja"
76,"0% : 100%",6,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
78,"90% : 10%",7,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
79,"80% : 20%",7,96.0,24.0,96.0,1.0,97.0,43.0,6.0,49.0,0.016538748868222885,0.016540613561468215,0.016540613561468215,"aneja"
80,"70% : 30%",7,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
81,"60% : 40%",7,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
84,"30% : 70%",7,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
85,"20% : 80%",7,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
86,"10% : 90%",7,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
87,"0% : 100%",7,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
88,"100% : 0%",8,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
89,"90% : 10%",8,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
90,"80% : 20%",8,96.0,24.0,26.208589999999994,1.0,27.208589999999994,45.0,7.0,52.0,0.016539634818224923,0.01654061362864465,0.01654061362864465,"aneja"
91,"70% : 30%",8,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
95,"30% : 70%",8,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
96,"20% : 80%",8,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
97,"10% : 90%",8,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
98,"0% : 100%",8,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
99,"100% : 0%",9,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
100,"90% : 10%",9,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
101,"80% : 20%",9,96.0,24.0,96.0,1.0,97.0,43.0,6.0,49.0,0.016538748868222885,0.016540613561468215,0.016540613561468215,"aneja"
102,"70% : 30%",9,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
103,"60% : 40%",9,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
106,"30% : 70%",9,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
107,"20% : 80%",9,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
108,"10% : 90%",9,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
109,"0% : 100%",9,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
0,"100% : 0%",0,120.0,"",6.852379,"",6.852379,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
1,"90% : 10%",0,108.0,12.0,6.8749,1.0,7.8749,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
2,"80% : 20%",0,96.0,24.0,6.869629000000001,1.0,7.869629000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
3,"70% : 30%",0,84.0,36.0,6.872157,1.0,7.872157,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
4,"60% : 40%",0,72.0,48.0,6.876465,1.0,7.876465,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
5,"50% : 50%",0,60.0,60.0,6.7755459999999985,1.0,7.7755459999999985,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
6,"40% : 60%",0,48.0,72.0,6.941296000000001,1.0,7.941296000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
7,"30% : 70%",0,36.0,84.0,7.088588999999997,1.0,8.088588999999997,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
8,"20% : 80%",0,24.0,96.0,6.991039000000001,1.0,7.991039000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
9,"10% : 90%",0,12.0,108.0,6.738670000000001,1.0,7.738670000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
10,"0% : 100%",0,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"gpba"
11,"100% : 0%",1,120.0,"",6.863293,"",6.863293,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
12,"90% : 10%",1,108.0,12.0,6.841843,1.0,7.841843,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
13,"80% : 20%",1,96.0,24.0,6.873583,1.0,7.873583,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
14,"70% : 30%",1,84.0,36.0,6.903450999999999,1.0,7.903450999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
15,"60% : 40%",1,72.0,48.0,6.848928,1.0,7.848928,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
16,"50% : 50%",1,60.0,60.0,6.798152,1.0,7.798152,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
17,"40% : 60%",1,48.0,72.0,6.8945099999999995,1.0,7.8945099999999995,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
