"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",114.997797,"",114.997797,6.0,"",6.0,0.4656646452374888,"",0.4656646452374888,"aneja"
1,"90% : 10%",0,108.0,12.0,103.332914,12.0,115.332914,6.0,220.0,226.0,0.4656646452374888,0.570674711461165,0.570674711461165,"aneja"
2,"80% : 20%",0,96.0,24.0,91.481084,24.0,115.481084,6.0,355.0,361.0,0.4656646452374888,0.580139116829112,0.580139116829112,"aneja"
3,"70% : 30%",0,84.0,36.0,79.13848,36.0,115.13848,6.0,432.0,438.0,0.4656646452374888,0.5812780718856027,0.5812780718856027,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,48.0,120.0,5.0,550.0,555.0,0.46358822176808545,0.5860670608761779,0.5860670608761779,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,60.0,120.0,3.0,553.0,556.0,0.3232946061334716,0.5870706021940769,0.5870706021940769,"aneja"
6,"40% : 60%",0,48.0,72.0,48.101526,72.0,120.101526,3.0,653.0,656.0,0.3232946061334716,0.5881628895734667,0.5881628895734667,"aneja"
7,"30% : 70%",0,36.0,84.0,36.105147,84.0,120.105147,3.0,732.0,735.0,0.3232946061334716,0.5883404929519572,0.5883404929519572,"aneja"
8,"20% : 80%",0,24.0,96.0,24.085894,96.0,120.085894,3.0,821.0,824.0,0.3232946061334716,0.5887615018884482,0.5887615018884482,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,108.0,120.0,2.0,385.0,387.0,0.017513701120218373,0.5867208471500183,0.5867208471500183,"aneja"
10,"0% : 100%",0,"",120.0,"",120.0,120.0,"",283.0,283.0,"",0.5231346262404808,0.5231346262404808,"aneja"
11,"100% : 0%",1,120.0,"",114.94930199999999,"",114.94930199999999,6.0,"",6.0,0.4656646452374888,"",0.4656646452374888,"aneja"
12,"90% : 10%",1,108.0,12.0,103.359436,12.0,115.359436,6.0,224.0,230.0,0.4656646452374888,0.5707215572333276,0.5707215572333276,"aneja"
13,"80% : 20%",1,96.0,24.0,90.74020100000001,24.0,114.74020100000001,6.0,321.0,327.0,0.4656646452374888,0.5780248009836992,0.5780248009836992,"aneja"
14,"70% : 30%",1,84.0,36.0,79.28195000000001,36.0,115.28195000000001,6.0,441.0,447.0,0.4656646452374888,0.5815315167742235,0.5815315167742235,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,48.0,120.0,5.0,542.0,547.0,0.46358822176808545,0.5854843784162036,0.5854843784162036,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,60.0,120.0,3.0,553.0,556.0,0.3232946061334716,0.5870706021940769,0.5870706021940769,"aneja"
17,"40% : 60%",1,48.0,72.0,48.091775,72.0,120.091775,3.0,652.0,655.0,0.3232946061334716,0.588162830029717,0.588162830029717,"aneja"
