"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,436.0,"",436.0,0.2033224185969088,"",0.2033224185969088,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,3.0,111.0,417.0,320.0,737.0,0.20332054208826167,0.2033336676360202,0.2033336676360202,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,2.0,98.0,394.0,280.0,674.0,0.2033134067895766,0.20333023544371312,0.20333023544371312,"aneja"
3,"70% : 30%",0,84.0,36.0,84.0,2.0,86.0,382.0,292.0,674.0,0.20331271138511386,0.20333023544371312,0.20333023544371312,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,2.0,74.0,367.0,305.0,672.0,0.20331069098586557,0.20333001601549663,0.20333001601549663,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,2.0,62.0,346.0,326.0,672.0,0.2032942282019925,0.20333002182853968,0.20333002182853968,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,2.0,50.0,298.0,362.0,660.0,0.20328508956497995,0.20332946530463528,0.20332946530463528,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,2.0,38.0,235.0,425.0,660.0,0.20323084636846722,0.20332948568243622,0.20332948568243622,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,3.0,27.0,175.0,478.0,653.0,0.20309699567680986,0.20332890055507266,0.20332890055507266,"aneja"
9,"10% : 90%",0,12.0,108.0,10.438285,3.0,13.438285,101.0,552.0,653.0,0.20246686641896125,0.2033287989702142,0.2033287989702142,"aneja"
10,"0% : 100%",0,"",120.0,"",6.0,6.0,"",524.0,524.0,"",0.20280990035227806,0.20280990035227806,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,436.0,"",436.0,0.2033224185969088,"",0.2033224185969088,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,3.0,111.0,415.0,322.0,737.0,0.20332052847969317,0.2033336676360202,0.2033336676360202,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,2.0,98.0,393.0,281.0,674.0,0.20331322779804067,0.20333023544371312,0.20333023544371312,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,2.0,86.0,382.0,292.0,674.0,0.20331271138511386,0.20333023544371312,0.20333023544371312,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,2.0,74.0,366.0,306.0,672.0,0.20331067092873095,0.20333001601549663,0.20333001601549663,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,2.0,62.0,346.0,326.0,672.0,0.2032942282019925,0.20333002182853968,0.20333002182853968,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,2.0,50.0,298.0,362.0,660.0,0.20328508956497995,0.20332946530463528,0.20332946530463528,"aneja"
18,"30% : 70%",1,36.0,84.0,24.025585000000003,2.0,26.025585000000003,236.0,424.0,660.0,0.20323089352898932,0.20332948568243622,0.20332948568243622,"aneja"
19,"20% : 80%",1,24.0,96.0,24.0,2.0,26.0,176.0,477.0,653.0,0.20311278182496043,0.20332890055507266,0.20332890055507266,"aneja"
20,"10% : 90%",1,12.0,108.0,10.461401000000004,3.0,13.461401000000004,102.0,552.0,654.0,0.20246660680495235,0.2033287989702142,0.2033287989702142,"aneja"
21,"0% : 100%",1,"",120.0,"",6.0,6.0,"",524.0,524.0,"",0.20280990035227806,0.20280990035227806,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,437.0,"",437.0,0.20332244492688994,"",0.20332244492688994,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,3.0,111.0,415.0,322.0,737.0,0.20332052847969317,0.2033336676360202,0.2033336676360202,"aneja"
24,"80% : 20%",2,96.0,24.0,96.0,2.0,98.0,393.0,281.0,674.0,0.20331322779804067,0.20333023544371312,0.20333023544371312,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,2.0,86.0,382.0,292.0,674.0,0.20331271138511386,0.20333023544371312,0.20333023544371312,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,2.0,74.0,365.0,307.0,672.0,0.20331066590810443,0.20333001601549663,0.20333001601549663,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,2.0,62.0,346.0,326.0,672.0,0.2032942282019925,0.20333002182853968,0.20333002182853968,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,2.0,50.0,298.0,362.0,660.0,0.20328508956497995,0.20332946530463528,0.20332946530463528,"aneja"
29,"30% : 70%",2,36.0,84.0,23.874548,3.0,26.874548,237.0,480.0,717.0,0.2032309185388138,0.20333400944836086,0.20333400944836086,"aneja"
30,"20% : 80%",2,24.0,96.0,24.0,3.0,27.0,176.0,477.0,653.0,0.20311278182496043,0.20332890055507266,0.20332890055507266,"aneja"
31,"10% : 90%",2,12.0,108.0,12.0,3.0,15.0,101.0,552.0,653.0,0.20246646406328497,0.2033287989702142,0.2033287989702142,"aneja"
32,"0% : 100%",2,"",120.0,"",6.0,6.0,"",524.0,524.0,"",0.20280990035227806,0.20280990035227806,"aneja"
33,"100% : 0%",3,120.0,"",120.0,"",120.0,436.0,"",436.0,0.2033224185969088,"",0.2033224185969088,"aneja"
34,"90% : 10%",3,108.0,12.0,108.0,3.0,111.0,417.0,320.0,737.0,0.20332054208826167,0.2033336676360202,0.2033336676360202,"aneja"
