"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
40,"30% : 70%",3,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
41,"20% : 80%",3,24.0,96.0,21.934715999999998,44.0,65.934716,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
42,"10% : 90%",3,12.0,108.0,12.055483,58.0,70.055483,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
43,"0% : 100%",3,"",120.0,"",120.0,120.0,"",185.0,185.0,"",0.35517629320334787,0.35517629320334787,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,24.0,"",24.0,0.4164230932567204,"",0.4164230932567204,"aneja"
45,"90% : 10%",4,108.0,12.0,101.766926,12.0,113.766926,21.0,185.0,206.0,0.41203333944926884,0.4191199068500382,0.4191199068500382,"aneja"
46,"80% : 20%",4,96.0,24.0,89.875313,24.0,113.875313,20.0,242.0,262.0,0.41195997217604596,0.41928570178923497,0.41928570178923497,"aneja"
47,"70% : 30%",4,84.0,36.0,77.906785,36.0,113.906785,20.0,297.0,317.0,0.4119669176981371,0.41934986126530216,0.41934986126530216,"aneja"
48,"60% : 40%",4,72.0,48.0,72.0,42.0,114.0,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
52,"20% : 80%",4,24.0,96.0,21.959515,43.0,64.959515,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
53,"10% : 90%",4,12.0,108.0,12.053003,58.0,70.053003,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
54,"0% : 100%",4,"",120.0,"",120.0,120.0,"",190.0,190.0,"",0.3551892096596524,0.3551892096596524,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,24.0,"",24.0,0.4164230932567204,"",0.4164230932567204,"aneja"
56,"90% : 10%",5,108.0,12.0,101.78312199999999,12.0,113.78312199999999,21.0,187.0,208.0,0.41203333944926884,0.41911725762665164,0.41911725762665164,"aneja"
57,"80% : 20%",5,96.0,24.0,89.737823,24.0,113.737823,20.0,245.0,265.0,0.41195997217604596,0.41929881788756884,0.41929881788756884,"aneja"
58,"70% : 30%",5,84.0,36.0,78.195721,36.0,114.195721,20.0,297.0,317.0,0.4119669176981371,0.41934986126530216,0.41934986126530216,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,42.0,114.0,17.0,293.0,310.0,0.4118188453556734,0.4193384528316123,0.4193384528316123,"aneja"
60,"50% : 50%",5,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
61,"40% : 60%",5,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
62,"30% : 70%",5,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
63,"20% : 80%",5,24.0,96.0,22.030756999999998,43.0,65.030757,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
64,"10% : 90%",5,12.0,108.0,12.050012999999998,58.0,70.05001299999999,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
65,"0% : 100%",5,"",120.0,"",120.0,120.0,"",185.0,185.0,"",0.35517629320334787,0.35517629320334787,"aneja"
66,"100% : 0%",6,120.0,"",120.0,"",120.0,23.0,"",23.0,0.4164185730021045,"",0.4164185730021045,"aneja"
67,"90% : 10%",6,108.0,12.0,102.03651900000001,12.0,114.03651900000001,22.0,181.0,203.0,0.4120249230084027,0.419102617646821,0.419102617646821,"aneja"
68,"80% : 20%",6,96.0,24.0,89.79937900000002,24.0,113.79937900000002,20.0,245.0,265.0,0.41195997217604596,0.41929881788756884,0.41929881788756884,"aneja"
69,"70% : 30%",6,84.0,36.0,84.0,36.0,120.0,19.0,299.0,318.0,0.41195326036314633,0.4193498636601647,0.4193498636601647,"aneja"
70,"60% : 40%",6,72.0,48.0,66.28213500000001,42.0,108.28213500000001,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,43.0,91.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
73,"30% : 70%",6,36.0,84.0,36.0,43.0,79.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
74,"20% : 80%",6,24.0,96.0,22.024609,43.0,65.024609,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
75,"10% : 90%",6,12.0,108.0,12.053791,59.0,71.053791,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
76,"0% : 100%",6,"",120.0,"",120.0,120.0,"",214.0,214.0,"",0.3540917736285223,0.3540917736285223,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,24.0,"",24.0,0.4164230932567204,"",0.4164230932567204,"aneja"
78,"90% : 10%",7,108.0,12.0,101.95702499999999,12.0,113.95702499999999,22.0,185.0,207.0,0.4120249230084027,0.41911002755438587,0.41911002755438587,"aneja"
79,"80% : 20%",7,96.0,24.0,89.984812,24.0,113.984812,20.0,246.0,266.0,0.41195997217604596,0.4193020747865023,0.4193020747865023,"aneja"
80,"70% : 30%",7,84.0,36.0,77.988393,36.0,113.988393,20.0,297.0,317.0,0.4119669176981371,0.41934986126530216,0.41934986126530216,"aneja"
81,"60% : 40%",7,72.0,48.0,65.928001,43.0,108.928001,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
84,"30% : 70%",7,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
85,"20% : 80%",7,24.0,96.0,22.006862,43.0,65.006862,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
86,"10% : 90%",7,12.0,108.0,12.04858,59.0,71.04858,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
87,"0% : 100%",7,"",120.0,"",120.0,120.0,"",220.0,220.0,"",0.350774772939872,0.350774772939872,"aneja"
88,"100% : 0%",8,120.0,"",113.68082499999998,"",113.68082499999998,24.0,"",24.0,0.4164214733501267,"",0.4164214733501267,"aneja"
89,"90% : 10%",8,108.0,12.0,108.0,12.0,120.0,22.0,185.0,207.0,0.41202588908104704,0.41911128737031644,0.41911128737031644,"aneja"
90,"80% : 20%",8,96.0,24.0,89.88230399999999,24.0,113.88230399999999,20.0,245.0,265.0,0.41195997217604596,0.41930173944930893,0.41930173944930893,"aneja"
91,"70% : 30%",8,84.0,36.0,78.04328100000001,36.0,114.04328100000001,20.0,298.0,318.0,0.41195997217604596,0.4193498636601647,0.4193498636601647,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,43.0,115.0,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,43.0,103.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
95,"30% : 70%",8,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
96,"20% : 80%",8,24.0,96.0,21.956950000000003,43.0,64.95695,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
97,"10% : 90%",8,12.0,108.0,12.056475,59.0,71.056475,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
98,"0% : 100%",8,"",120.0,"",120.0,120.0,"",188.0,188.0,"",0.35518913730003776,0.35518913730003776,"aneja"
99,"100% : 0%",9,120.0,"",113.41034200000001,"",113.41034200000001,24.0,"",24.0,0.4164214733501267,"",0.4164214733501267,"aneja"
100,"90% : 10%",9,108.0,12.0,108.0,12.0,120.0,22.0,185.0,207.0,0.41202588908104704,0.41911128737031644,0.41911128737031644,"aneja"
101,"80% : 20%",9,96.0,24.0,89.909908,24.0,113.909908,20.0,245.0,265.0,0.41195997217604596,0.41929881788756884,0.41929881788756884,"aneja"
102,"70% : 30%",9,84.0,36.0,84.0,36.0,120.0,19.0,291.0,310.0,0.41195326036314633,0.41934443176957725,0.41934443176957725,"aneja"
