"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,21.0,"",21.0,0.2533328235193702,"",0.2533328235193702,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,6.0,114.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
3,"70% : 30%",0,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
7,"30% : 70%",0,36.0,84.0,25.506586000000002,6.0,31.506586000000002,8.0,56.0,64.0,0.2420034689734113,0.25378933500796647,0.25378933500796647,"aneja"
8,"20% : 80%",0,24.0,96.0,19.404007,6.0,25.404007,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
10,"0% : 100%",0,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,20.0,"",20.0,0.25333044145007266,"",0.25333044145007266,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,5.0,113.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,7.0,43.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
19,"20% : 80%",1,24.0,96.0,19.208039999999997,6.0,25.208039999999997,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
20,"10% : 90%",1,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
21,"0% : 100%",1,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,20.0,"",20.0,0.25333044145007266,"",0.25333044145007266,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,5.0,113.0,18.0,67.0,85.0,0.2533298653298689,0.2538944910692534,0.2538944910692534,"aneja"
24,"80% : 20%",2,96.0,24.0,58.48475799999999,5.0,63.48475799999999,17.0,62.0,79.0,0.25192485153762867,0.25389359853741456,0.25389359853741456,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,6.0,54.0,10.0,70.0,80.0,0.2494896956188216,0.25387306206577925,0.25387306206577925,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,7.0,43.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
30,"20% : 80%",2,24.0,96.0,19.551814,6.0,25.551814,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
31,"10% : 90%",2,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
32,"0% : 100%",2,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
33,"100% : 0%",3,120.0,"",75.89840399999999,"",75.89840399999999,20.0,"",20.0,0.25333044145007266,"",0.25333044145007266,"aneja"
34,"90% : 10%",3,108.0,12.0,108.0,5.0,113.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
35,"80% : 20%",3,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
36,"70% : 30%",3,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
37,"60% : 40%",3,72.0,48.0,72.0,7.0,79.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
38,"50% : 50%",3,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
39,"40% : 60%",3,48.0,72.0,48.0,6.0,54.0,10.0,70.0,80.0,0.2494896956188216,0.25387306206577925,0.25387306206577925,"aneja"
40,"30% : 70%",3,36.0,84.0,36.0,7.0,43.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
41,"20% : 80%",3,24.0,96.0,19.339003,6.0,25.339003,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
42,"10% : 90%",3,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
43,"0% : 100%",3,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,20.0,"",20.0,0.25333044145007266,"",0.25333044145007266,"aneja"
45,"90% : 10%",4,108.0,12.0,108.0,6.0,114.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
46,"80% : 20%",4,96.0,24.0,57.06397499999999,5.0,62.06397499999999,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
48,"60% : 40%",4,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
51,"30% : 70%",4,36.0,84.0,25.671830999999997,6.0,31.671830999999997,8.0,56.0,64.0,0.2420034689734113,0.25378933500796647,0.25378933500796647,"aneja"
52,"20% : 80%",4,24.0,96.0,19.368181,6.0,25.368181,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
53,"10% : 90%",4,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
54,"0% : 100%",4,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,19.0,"",19.0,0.25333007769666627,"",0.25333007769666627,"aneja"
56,"90% : 10%",5,108.0,12.0,108.0,5.0,113.0,18.0,67.0,85.0,0.2533298653298689,0.2538944910692534,0.2538944910692534,"aneja"
57,"80% : 20%",5,96.0,24.0,96.0,5.0,101.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
58,"70% : 30%",5,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
60,"50% : 50%",5,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
61,"40% : 60%",5,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
62,"30% : 70%",5,36.0,84.0,36.0,7.0,43.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
63,"20% : 80%",5,24.0,96.0,19.368443,6.0,25.368443,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
64,"10% : 90%",5,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
65,"0% : 100%",5,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
66,"100% : 0%",6,120.0,"",120.0,"",120.0,19.0,"",19.0,0.25333007769666627,"",0.25333007769666627,"aneja"
67,"90% : 10%",6,108.0,12.0,108.0,5.0,113.0,18.0,67.0,85.0,0.2533298653298689,0.2538944910692534,0.2538944910692534,"aneja"
68,"80% : 20%",6,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
69,"70% : 30%",6,84.0,36.0,84.0,5.0,89.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
70,"60% : 40%",6,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
73,"30% : 70%",6,36.0,84.0,36.0,8.0,44.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
74,"20% : 80%",6,24.0,96.0,19.471316,6.0,25.471316,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
75,"10% : 90%",6,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
76,"0% : 100%",6,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,19.0,"",19.0,0.25333007769666627,"",0.25333007769666627,"aneja"
78,"90% : 10%",7,108.0,12.0,108.0,6.0,114.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
79,"80% : 20%",7,96.0,24.0,96.0,5.0,101.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
80,"70% : 30%",7,84.0,36.0,84.0,6.0,90.0,15.0,64.0,79.0,0.25184036432993123,0.25389359853741456,0.25389359853741456,"aneja"
81,"60% : 40%",7,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
84,"30% : 70%",7,36.0,84.0,25.492948000000002,7.0,32.492948,8.0,56.0,64.0,0.2420034689734113,0.25378933500796647,0.25378933500796647,"aneja"
85,"20% : 80%",7,24.0,96.0,19.059956999999997,6.0,25.059956999999997,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
86,"10% : 90%",7,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
87,"0% : 100%",7,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
88,"100% : 0%",8,120.0,"",120.0,"",120.0,19.0,"",19.0,0.25333007769666627,"",0.25333007769666627,"aneja"
89,"90% : 10%",8,108.0,12.0,108.0,5.0,113.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
90,"80% : 20%",8,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
91,"70% : 30%",8,84.0,36.0,55.530483999999994,6.0,61.530483999999994,15.0,67.0,82.0,0.2518632202329349,0.2538932493090307,0.2538932493090307,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,6.0,54.0,10.0,70.0,80.0,0.2494896956188216,0.25387306206577925,0.25387306206577925,"aneja"
95,"30% : 70%",8,36.0,84.0,36.0,8.0,44.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
96,"20% : 80%",8,24.0,96.0,19.137155,6.0,25.137155,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
97,"10% : 90%",8,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
98,"0% : 100%",8,"",120.0,"",20.0,20.0,"",52.0,52.0,"",0.2220037706260682,0.2220037706260682,"aneja"
99,"100% : 0%",9,120.0,"",120.0,"",120.0,20.0,"",20.0,0.25333044145007266,"",0.25333044145007266,"aneja"
100,"90% : 10%",9,108.0,12.0,108.0,5.0,113.0,19.0,68.0,87.0,0.25333007769666627,0.25389471745176356,0.25389471745176356,"aneja"
101,"80% : 20%",9,96.0,24.0,96.0,5.0,101.0,16.0,63.0,79.0,0.2518979868253881,0.25389359853741456,0.25389359853741456,"aneja"
102,"70% : 30%",9,84.0,36.0,55.138884999999995,7.0,62.138884999999995,15.0,67.0,82.0,0.2518632202329349,0.2538932493090307,0.2538932493090307,"aneja"
103,"60% : 40%",9,72.0,48.0,72.0,8.0,80.0,14.0,73.0,87.0,0.25183635552069433,0.2538767138526126,0.2538767138526126,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,7.0,67.0,12.0,70.0,82.0,0.24961848413923896,0.2538833737880932,0.2538833737880932,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,7.0,55.0,9.0,73.0,82.0,0.2494604509550873,0.25384593858937154,0.25384593858937154,"aneja"
106,"30% : 70%",9,36.0,84.0,36.0,7.0,43.0,7.0,67.0,74.0,0.24165871586560692,0.25372302628049237,0.25372302628049237,"aneja"
107,"20% : 80%",9,24.0,96.0,19.427929,6.0,25.427929,7.0,68.0,75.0,0.25077932964465516,0.2537839300824825,0.2537839300824825,"aneja"
108,"10% : 90%",9,12.0,108.0,12.0,9.0,21.0,4.0,73.0,77.0,0.22892295133788226,0.25345781268781015,0.25345781268781015,"aneja"
