"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,316.0,"",316.0,0.617055494765724,"",0.617055494765724,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,0.0,108.0,312.0,27.0,339.0,0.6170554420032738,0.6170574192229957,0.6170574192229957,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,0.0,96.0,304.0,30.0,334.0,0.6170528649545407,0.6170571013945118,0.6170571013945118,"aneja"
3,"70% : 30%",0,84.0,36.0,28.481889000000024,0.0,28.481889000000024,299.0,35.0,334.0,0.6170525330372828,0.6170570698108883,0.6170570698108883,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,0.0,72.0,279.0,47.0,326.0,0.6170358799779891,0.6170564319511516,0.6170564319511516,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,0.0,60.0,264.0,58.0,322.0,0.6170201584686946,0.6170553709499096,0.6170553709499096,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,0.0,48.0,251.0,68.0,319.0,0.6170075760750108,0.6170543185321095,0.6170543185321095,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,0.0,36.0,210.0,103.0,313.0,0.6169350502611072,0.6170505454592058,0.6170505454592058,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,0.0,24.0,143.0,155.0,298.0,0.6166902219851099,0.6170025359558154,0.6170025359558154,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,0.0,12.0,90.0,189.0,279.0,0.6160124621702682,0.6169377772395102,0.6169377772395102,"aneja"
10,"0% : 100%",0,"",120.0,"",2.0,2.0,"",257.0,257.0,"",0.6165426332621206,0.6165426332621206,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,315.0,"",315.0,0.6170554724653792,"",0.6170554724653792,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,0.0,108.0,313.0,27.0,340.0,0.6170554441670426,0.6170574213867644,0.6170574213867644,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,0.0,96.0,304.0,30.0,334.0,0.6170528649545407,0.6170571013945118,0.6170571013945118,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,0.0,84.0,298.0,35.0,333.0,0.6170525330372828,0.6170570698108883,0.6170570698108883,"aneja"
