"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
41,"20% : 80%",3,24.0,96.0,24.0,1.0,25.0,63.0,56.0,119.0,0.2849733425382359,0.2850390686266579,0.2850390686266579,"aneja"
42,"10% : 90%",3,12.0,108.0,12.0,1.0,13.0,34.0,79.0,113.0,0.28453664661224876,0.28503759257142075,0.28503759257142075,"aneja"
43,"0% : 100%",3,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
45,"90% : 10%",4,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
46,"80% : 20%",4,96.0,24.0,96.0,1.0,97.0,118.0,11.0,129.0,0.2850110687109281,0.2850392871412577,0.2850392871412577,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,1.0,85.0,115.0,12.0,127.0,0.28501020762104157,0.28503924173162964,0.28503924173162964,"aneja"
48,"60% : 40%",4,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,1.0,49.0,96.0,27.0,123.0,0.28499903283971617,0.28503919925641014,0.28503919925641014,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,1.0,37.0,76.0,46.0,122.0,0.28497477283796113,0.2850391968577179,0.2850391968577179,"aneja"
52,"20% : 80%",4,24.0,96.0,24.0,1.0,25.0,62.0,56.0,118.0,0.2849724456175489,0.2850381717059709,0.2850381717059709,"aneja"
53,"10% : 90%",4,12.0,108.0,12.0,1.0,13.0,35.0,78.0,113.0,0.28456272229972535,0.28503759257142075,0.28503759257142075,"aneja"
54,"0% : 100%",4,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
56,"90% : 10%",5,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
57,"80% : 20%",5,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
58,"70% : 30%",5,84.0,36.0,84.0,1.0,85.0,116.0,11.0,127.0,0.2850109386427768,0.28503924173162964,0.28503924173162964,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
60,"50% : 50%",5,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
61,"40% : 60%",5,48.0,72.0,48.0,1.0,49.0,95.0,28.0,123.0,0.28499896518374457,0.28503919925641014,0.28503919925641014,"aneja"
62,"30% : 70%",5,36.0,84.0,36.0,1.0,37.0,76.0,46.0,122.0,0.28497477283796113,0.2850391968577179,0.2850391968577179,"aneja"
63,"20% : 80%",5,24.0,96.0,24.0,1.0,25.0,63.0,56.0,119.0,0.2849733425382359,0.2850390686266579,0.2850390686266579,"aneja"
64,"10% : 90%",5,12.0,108.0,12.0,1.0,13.0,34.0,79.0,113.0,0.28453664661224876,0.28503759257142075,0.28503759257142075,"aneja"
65,"0% : 100%",5,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
66,"100% : 0%",6,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
67,"90% : 10%",6,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
68,"80% : 20%",6,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
69,"70% : 30%",6,84.0,36.0,84.0,1.0,85.0,116.0,11.0,127.0,0.2850109386427768,0.28503924173162964,0.28503924173162964,"aneja"
70,"60% : 40%",6,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,1.0,49.0,94.0,29.0,123.0,0.2849960443637874,0.28503919925641014,0.28503919925641014,"aneja"
73,"30% : 70%",6,36.0,84.0,36.0,1.0,37.0,76.0,46.0,122.0,0.28497477283796113,0.2850391968577179,0.2850391968577179,"aneja"
