"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
40,"30% : 70%",3,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
41,"20% : 80%",3,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
42,"10% : 90%",3,12.0,108.0,12.0,70.0,82.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
43,"0% : 100%",3,"",120.0,"",120.0,120.0,"",305.0,305.0,"",0.40141746419128893,0.40141746419128893,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
45,"90% : 10%",4,108.0,12.0,102.652454,12.0,114.652454,24.0,361.0,385.0,0.39804680786443347,0.4036767574589629,0.4036767574589629,"aneja"
46,"80% : 20%",4,96.0,24.0,90.49014799999999,24.0,114.49014799999999,24.0,572.0,596.0,0.39804680786443347,0.40507377741042744,0.40507377741042744,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,36.0,120.0,23.0,668.0,691.0,0.39055699480740247,0.40522696468378006,0.40522696468378006,"aneja"
48,"60% : 40%",4,72.0,48.0,66.49033100000001,48.0,114.49033100000001,23.0,741.0,764.0,0.39041310474168983,0.4053327757774914,0.4053327757774914,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,60.0,120.0,18.0,760.0,778.0,0.3895544755397458,0.4053405143854481,0.4053405143854481,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
52,"20% : 80%",4,24.0,96.0,24.0,85.0,109.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
53,"10% : 90%",4,12.0,108.0,12.0,72.0,84.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
54,"0% : 100%",4,"",120.0,"",120.0,120.0,"",325.0,325.0,"",0.40141826343276116,0.40141826343276116,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,25.0,"",25.0,0.39811308423759084,"",0.39811308423759084,"aneja"
56,"90% : 10%",5,108.0,12.0,102.323793,12.0,114.323793,24.0,349.0,373.0,0.39804680786443347,0.4036664799391671,0.4036664799391671,"aneja"
57,"80% : 20%",5,96.0,24.0,90.14739900000001,24.0,114.14739900000001,24.0,562.0,586.0,0.39804680786443347,0.4050737612197896,0.4050737612197896,"aneja"
58,"70% : 30%",5,84.0,36.0,84.0,36.0,120.0,23.0,685.0,708.0,0.39055699480740247,0.40524374032730004,0.40524374032730004,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,48.0,120.0,22.0,758.0,780.0,0.390003761218856,0.405337594425905,0.405337594425905,"aneja"
60,"50% : 50%",5,60.0,60.0,60.0,60.0,120.0,19.0,769.0,788.0,0.3896715095376324,0.40534052558850037,0.40534052558850037,"aneja"
61,"40% : 60%",5,48.0,72.0,46.57394300000001,69.0,115.57394300000001,16.0,777.0,793.0,0.38935671870142236,0.4053363432466127,0.4053363432466127,"aneja"
62,"30% : 70%",5,36.0,84.0,34.22274900000001,80.0,114.22274900000001,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
63,"20% : 80%",5,24.0,96.0,24.0,83.0,107.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
64,"10% : 90%",5,12.0,108.0,12.0,71.0,83.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
65,"0% : 100%",5,"",120.0,"",120.0,120.0,"",284.0,284.0,"",0.40090330963607224,0.40090330963607224,"aneja"
66,"100% : 0%",6,120.0,"",120.0,"",120.0,26.0,"",26.0,0.39812757577632607,"",0.39812757577632607,"aneja"
67,"90% : 10%",6,108.0,12.0,102.520981,12.0,114.520981,24.0,368.0,392.0,0.39804680786443347,0.40368297175890727,0.40368297175890727,"aneja"
68,"80% : 20%",6,96.0,24.0,90.16196,24.0,114.16196,24.0,560.0,584.0,0.39804680786443347,0.4050730272529355,0.4050730272529355,"aneja"
69,"70% : 30%",6,84.0,36.0,78.380109,36.0,114.380109,24.0,649.0,673.0,0.39804680786443347,0.4051983726519841,0.4051983726519841,"aneja"
70,"60% : 40%",6,72.0,48.0,72.0,48.0,120.0,22.0,741.0,763.0,0.390003761218856,0.4053332558941335,0.4053332558941335,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,60.0,120.0,18.0,770.0,788.0,0.3895544755397458,0.40534052558850037,0.40534052558850037,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,69.0,117.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
73,"30% : 70%",6,36.0,84.0,34.453162,80.0,114.45316199999999,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
74,"20% : 80%",6,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
75,"10% : 90%",6,12.0,108.0,12.0,71.0,83.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
76,"0% : 100%",6,"",120.0,"",120.0,120.0,"",308.0,308.0,"",0.4014176987600826,0.4014176987600826,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
78,"90% : 10%",7,108.0,12.0,102.38664699999998,12.0,114.38664699999998,24.0,361.0,385.0,0.39804680786443347,0.4036792146297448,0.4036792146297448,"aneja"
79,"80% : 20%",7,96.0,24.0,90.168077,24.0,114.168077,24.0,552.0,576.0,0.39804680786443347,0.40507290557162245,0.40507290557162245,"aneja"
80,"70% : 30%",7,84.0,36.0,78.59518099999998,36.0,114.59518099999998,24.0,689.0,713.0,0.39804680786443347,0.40526575273013493,0.40526575273013493,"aneja"
81,"60% : 40%",7,72.0,48.0,66.48859800000001,48.0,114.48859800000001,23.0,746.0,769.0,0.39041310474168983,0.4053328609564192,0.4053328609564192,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,60.0,120.0,18.0,770.0,788.0,0.3895544755397458,0.40534052558850037,0.40534052558850037,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,69.0,117.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
84,"30% : 70%",7,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
85,"20% : 80%",7,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
86,"10% : 90%",7,12.0,108.0,12.0,70.0,82.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
87,"0% : 100%",7,"",120.0,"",120.0,120.0,"",308.0,308.0,"",0.4014176987600826,0.4014176987600826,"aneja"
88,"100% : 0%",8,120.0,"",120.0,"",120.0,26.0,"",26.0,0.39812757577632607,"",0.39812757577632607,"aneja"
89,"90% : 10%",8,108.0,12.0,102.26627500000001,12.0,114.26627500000001,24.0,362.0,386.0,0.39804680786443347,0.40367988963584733,0.40367988963584733,"aneja"
90,"80% : 20%",8,96.0,24.0,90.20213700000001,24.0,114.20213700000001,24.0,541.0,565.0,0.39804680786443347,0.40507276105693574,0.40507276105693574,"aneja"
