"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",86.73433299999996,"",86.73433299999996,84.0,"",84.0,0.12505911748067977,"",0.12505911748067977,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,12.0,120.0,72.0,296.0,368.0,0.12491129533483572,0.12532439836723738,0.12532439836723738,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,24.0,120.0,70.0,340.0,410.0,0.12488904549690075,0.12533996941763437,0.12533996941763437,"aneja"
3,"70% : 30%",0,84.0,36.0,84.0,28.0,112.0,66.0,344.0,410.0,0.1248243196465339,0.12533996941763437,0.12533996941763437,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,29.0,101.0,56.0,362.0,418.0,0.12448687591145731,0.12533581106695216,0.12533581106695216,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,29.0,89.0,47.0,373.0,420.0,0.12440506290684523,0.12533426444173884,0.12533426444173884,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,29.0,77.0,39.0,379.0,418.0,0.1242677597789413,0.12533721531347208,0.12533721531347208,"aneja"
7,"30% : 70%",0,36.0,84.0,34.40367500000001,33.0,67.403675,30.0,390.0,420.0,0.1231130852080358,0.12532943247471537,0.12532943247471537,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,31.0,55.0,21.0,411.0,432.0,0.12152355902450239,0.125330983816554,0.125330983816554,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,34.0,46.0,10.0,422.0,432.0,0.11539675014394679,0.125330983816554,0.125330983816554,"aneja"
10,"0% : 100%",0,"",120.0,"",115.0,115.0,"",506.0,506.0,"",0.12500645221107992,0.12500645221107992,"aneja"
11,"100% : 0%",1,120.0,"",85.67236100000004,"",85.67236100000004,80.0,"",80.0,0.12497123545018948,"",0.12497123545018948,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,12.0,120.0,72.0,297.0,369.0,0.12491129533483572,0.12532450022956582,0.12532450022956582,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,24.0,120.0,70.0,340.0,410.0,0.12488904549690075,0.12533996941763437,0.12533996941763437,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,28.0,112.0,65.0,345.0,410.0,0.12481875153583144,0.12533760311749045,0.12533760311749045,"aneja"
15,"60% : 40%",1,72.0,48.0,63.799898000000006,29.0,92.79989800000001,59.0,364.0,423.0,0.12457573198584347,0.1253359426964656,0.1253359426964656,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,29.0,89.0,48.0,372.0,420.0,0.12442459708468791,0.12533426444173884,0.12533426444173884,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,29.0,77.0,39.0,379.0,418.0,0.1242677597789413,0.12533721531347208,0.12533721531347208,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,33.0,69.0,30.0,390.0,420.0,0.1231130852080358,0.12532943247471537,0.12532943247471537,"aneja"
19,"20% : 80%",1,24.0,96.0,23.203875,33.0,56.203875,22.0,411.0,433.0,0.12152355902450239,0.125330983816554,0.125330983816554,"aneja"
20,"10% : 90%",1,12.0,108.0,12.0,33.0,45.0,10.0,422.0,432.0,0.11539675014394679,0.125330983816554,0.125330983816554,"aneja"
21,"0% : 100%",1,"",120.0,"",115.0,115.0,"",506.0,506.0,"",0.12500645221107992,0.12500645221107992,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,77.0,"",77.0,0.12493147763880211,"",0.12493147763880211,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,12.0,120.0,72.0,297.0,369.0,0.12491129533483572,0.12532450022956582,0.12532450022956582,"aneja"
24,"80% : 20%",2,96.0,24.0,96.0,24.0,120.0,70.0,340.0,410.0,0.12488904549690075,0.12533996941763437,0.12533996941763437,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,28.0,112.0,64.0,346.0,410.0,0.12481657316643886,0.12533760311749045,0.12533760311749045,"aneja"
26,"60% : 40%",2,72.0,48.0,63.457865,29.0,92.457865,58.0,361.0,419.0,0.1245457558879123,0.12533581106695216,0.12533581106695216,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,29.0,89.0,46.0,374.0,420.0,0.12440160652319383,0.12533426444173884,0.12533426444173884,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,29.0,77.0,40.0,378.0,418.0,0.1242717703580635,0.12533721531347208,0.12533721531347208,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,33.0,69.0,30.0,390.0,420.0,0.1231130852080358,0.12532943247471537,0.12532943247471537,"aneja"
