"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
40,"30% : 70%",3,36.0,84.0,36.0,6.0,42.0,89.0,271.0,360.0,0.7696964231971686,0.7702628410831418,0.7702628410831418,"aneja"
41,"20% : 80%",3,24.0,96.0,24.0,7.0,31.0,64.0,301.0,365.0,0.7690493717687826,0.7702237268825708,0.7702237268825708,"aneja"
42,"10% : 90%",3,12.0,108.0,10.734002000000002,8.0,18.734002000000004,37.0,370.0,407.0,0.7673705525940552,0.7702137891479213,0.7702137891479213,"aneja"
43,"0% : 100%",3,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,191.0,"",191.0,0.7702140836422129,"",0.7702140836422129,"aneja"
45,"90% : 10%",4,108.0,12.0,108.0,7.0,115.0,175.0,258.0,433.0,0.7701992650756515,0.770304212713623,0.770304212713623,"aneja"
46,"80% : 20%",4,96.0,24.0,96.0,7.0,103.0,171.0,261.0,432.0,0.7701970538158812,0.770304073737851,0.770304073737851,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,8.0,92.0,157.0,270.0,427.0,0.7701881800355758,0.7703026212426817,0.7703026212426817,"aneja"
48,"60% : 40%",4,72.0,48.0,72.0,8.0,80.0,139.0,307.0,446.0,0.7700672700672436,0.7702827726362138,0.7702827726362138,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,8.0,68.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,7.0,55.0,107.0,261.0,368.0,0.7697660100284386,0.7702729290165531,0.7702729290165531,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,7.0,43.0,91.0,271.0,362.0,0.7697002472178819,0.7702631823815913,0.7702631823815913,"aneja"
52,"20% : 80%",4,24.0,96.0,24.0,7.0,31.0,64.0,301.0,365.0,0.7690493717687826,0.7702237268825708,0.7702237268825708,"aneja"
53,"10% : 90%",4,12.0,108.0,10.772536000000002,8.0,18.772536000000002,37.0,370.0,407.0,0.7673705525940552,0.7702137891479213,0.7702137891479213,"aneja"
54,"0% : 100%",4,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,190.0,"",190.0,0.7702128585477303,"",0.7702128585477303,"aneja"
56,"90% : 10%",5,108.0,12.0,108.0,7.0,115.0,175.0,258.0,433.0,0.7701992650756515,0.770304212713623,0.770304212713623,"aneja"
57,"80% : 20%",5,96.0,24.0,96.0,7.0,103.0,170.0,262.0,432.0,0.7701957765218267,0.770304073737851,0.770304073737851,"aneja"
58,"70% : 30%",5,84.0,36.0,84.0,7.0,91.0,157.0,270.0,427.0,0.7701881800355758,0.7703026212426817,0.7703026212426817,"aneja"
59,"60% : 40%",5,72.0,48.0,72.0,7.0,79.0,138.0,308.0,446.0,0.7700652126961187,0.7702827726362138,0.7702827726362138,"aneja"
